hotspot,year,occ,sp_evenness,sp_richness
1,2011,3.5964559828031782e-06,0.9697238998682473,5.0
1,2012,4.195865313270374e-06,0.8322488896002306,4.0
1,2013,4.195865313270374e-06,0.9755037590061084,6.0
1,2014,7.252852898653076e-05,0.9579926271001333,32.0
1,2015,4.1958653132703744e-05,0.9644533756740689,27.0
1,2016,0.000457948728476938,0.8418555944484462,54.0
1,2017,0.0007378728858051187,0.8369129071456889,53.0
1,2018,0.002302331238324501,0.764325473678901,64.0
1,2019,0.004691576829566746,0.670481645902646,108.0
1,2020,0.00655933630330253,0.6466603060583903,166.0
1,2021,0.006801497672811277,0.6660467811304029,132.0
2,2011,7.674651744669602e-06,0.8175977743833844,27.0
2,2012,3.683832837441409e-06,0.8130295772129486,10.0
2,2013,1.5349303489339204e-06,0.9739760316291207,8.0
2,2014,2.1489024885074884e-06,0.8559427152994471,9.0
2,2015,9.670061198283698e-06,0.8780608258116663,38.0
2,2016,2.4405392548049334e-05,0.9182937077928391,49.0
2,2017,3.85267517582414e-05,0.8167912342602619,62.0
2,2018,5.571797166630131e-05,0.8817944748278764,73.0
2,2019,0.0001100545060185621,0.8422084042219695,121.0
2,2020,0.0005261741236145479,0.7693046577867403,187.0
2,2021,0.000602153175886777,0.7733505353458848,186.0
3,2011,4.027065666497338e-05,0.9136766608608751,66.0
3,2012,8.515142217374843e-05,0.8815695605763179,70.0
3,2013,9.301572549552774e-05,0.8817285607855149,99.0
3,2014,0.00014847262305773014,0.8709811912427212,94.0
3,2015,0.0001724723073328153,0.8542571127149002,113.0
3,2016,0.00025938641818213493,0.8573998745142898,130.0
3,2017,0.00038413053983794474,0.8495836839547816,132.0
3,2018,0.0006930078323726564,0.7828851875848242,222.0
3,2019,0.000933411449433255,0.733746515031284,381.0
3,2020,0.0006877197663459427,0.7778121161157054,312.0
3,2021,0.0006450084638224861,0.7510929082652112,506.0
4,2011,3.65988648317676e-06,0.8467656864304006,9.0
4,2012,4.2088694556532745e-06,0.7458486253463279,9.0
4,2013,2.7815137272143377e-05,0.9048263642572766,115.0
4,2014,2.8181125920461053e-05,0.922413649718217,46.0
4,2015,1.7750449443407287e-05,0.9362848353755936,35.0
4,2016,2.3423273492331266e-05,0.9349649769292289,40.0
4,2017,5.3434342654380697e-05,0.8524760503991456,82.0
4,2018,8.106648560236523e-05,0.8313049994656921,104.0
4,2019,0.00032481492538193746,0.7235421344715876,205.0
4,2020,0.00038245813749197144,0.7143704752847251,178.0
4,2021,0.0006311474240238323,0.6870449729382412,172.0
5,2011,9.51809201168806e-06,0.8112781244591328,2.0
5,2012,4.75904600584403e-06,0.0,1.0
5,2013,2.379523002922015e-06,0.0,1.0
5,2014,0.0,0.0,0.0
5,2015,2.379523002922015e-06,0.0,1.0
5,2016,1.1897615014610075e-05,0.9602297178607612,3.0
5,2017,2.6174753032142166e-05,1.0,11.0
5,2018,2.8554276035064182e-05,0.8263756895833503,9.0
5,2019,3.09337990379862e-05,0.98929725585177,12.0
5,2020,0.00014753042618116495,0.9654828883389777,38.0
5,2021,0.0014848223538233374,0.8638797771706364,48.0
6,2011,1.2818421538007015e-05,0.8096568334164151,5.0
6,2012,1.2818421538007015e-05,0.9708357627258162,7.0
6,2013,3.703099555424249e-05,0.9825847993461596,21.0
6,2014,2.8485381195571147e-05,0.9884897434514174,18.0
6,2015,2.563684307601403e-05,1.0000000000000002,18.0
6,2016,3.9879533673799605e-05,0.9837849261588976,23.0
6,2017,6.69406458095922e-05,0.9758060192032324,29.0
6,2018,9.400175794538478e-05,0.9602857231132023,43.0
6,2019,0.00016236667281475554,0.9550410013082923,66.0
6,2020,0.0006295269244221223,0.842158961899203,114.0
6,2021,0.0014655728625121356,0.7972963601299041,119.0
7,2011,0.0020780450085355904,0.8870879261528901,144.0
7,2012,0.002304372316428115,0.8767529499026588,162.0
7,2013,0.0021945866820026368,0.8774972291081892,169.0
7,2014,0.002345471553930986,0.8845297147498854,163.0
7,2015,0.0030210754580877754,0.8769408296450775,191.0
7,2016,0.003896545517224281,0.8807396964899824,183.0
7,2017,0.0035761966660032706,0.8719447563281418,203.0
7,2018,0.006023008805557775,0.7975443091723926,307.0
7,2019,0.009330652919658722,0.8088859956027522,241.0
7,2020,0.004108797743780206,0.7963224322845962,221.0
7,2021,0.00480635877482209,0.8188572378254542,190.0
8,2011,1.1269595880342373e-05,0.9339997105414939,22.0
8,2012,4.507838352136949e-06,0.8608636452121985,14.0
8,2013,2.028527258461627e-05,0.8732767344962583,38.0
8,2014,2.3358798733800555e-05,0.9239421358588131,56.0
8,2015,4.343916957513787e-05,0.7748215027545916,44.0
8,2016,5.388915848236444e-05,0.841018145315723,63.0
8,2017,2.5407816166590078e-05,0.8690323172925242,46.0
8,2018,8.19606973115809e-05,0.8049495891025263,115.0
8,2019,8.400971474437041e-05,0.8984819336643833,152.0
8,2020,0.0002749781394803539,0.8392487507157297,272.0
8,2021,0.00018379686372122016,0.8313342978170272,126.0
9,2011,8.729812664930091e-06,0.9761532516538861,83.0
9,2012,8.833739006179258e-07,0.9636983369426122,12.0
9,2013,1.0080855101169272e-05,0.9483236674481764,97.0
9,2014,2.2344163368571064e-06,0.9431657336178014,31.0
9,2015,7.274843887441743e-07,0.9823368126263247,12.0
9,2016,4.38049528365242e-05,0.924108290758981,108.0
9,2017,6.209598889637773e-05,0.9220273949149086,109.0
9,2018,0.00010200370393605814,0.8828353633708766,132.0
9,2019,6.620107937571985e-05,0.8709035643077755,215.0
9,2020,5.6743782322045594e-05,0.883283520540715,227.0
9,2021,0.00018083183377355189,0.7983045188389036,213.0
10,2011,2.1432962951575393e-06,0.6888727451927241,18.0
10,2012,2.867382881359411e-06,0.7683749093731653,36.0
10,2013,4.9817157130688754e-06,0.899361326890023,111.0
10,2014,3.7073233213535815e-06,0.9395467345704742,74.0
10,2015,5.9954369337514955e-06,0.918884760384793,57.0
10,2016,3.7652502482497313e-06,0.9232724570213453,49.0
10,2017,1.897106855848903e-05,0.7080919315618304,81.0
10,2018,2.3373515002596407e-05,0.6976588634997799,87.0
10,2019,2.6617422908780792e-05,0.7983967117197523,213.0
10,2020,4.419824522176223e-05,0.7751136010738017,338.0
10,2021,3.9477200679726026e-05,0.7353539988093615,281.0
11,2011,1.8160297011923306e-06,0.9182958340544894,2.0
11,2012,0.0,0.0,0.0
11,2013,0.0,0.0,0.0
11,2014,6.053432337307769e-07,0.0,1.0
11,2015,3.632059402384661e-06,0.6500224216483541,2.0
11,2016,7.264118804769322e-06,0.822377339362118,6.0
11,2017,3.632059402384661e-06,0.9697238998682473,5.0
11,2018,4.237402636115438e-06,0.9999999999999999,7.0
11,2019,2.2397699648038746e-05,0.9262258936701077,28.0
11,2020,0.00037289143197815857,0.8558215477303263,73.0
11,2021,0.0004600608576353904,0.8528189932514133,81.0
12,2011,6.000259988462005e-07,0.0,1.0
12,2012,6.000259988462005e-07,0.0,1.0
12,2013,2.400103995384802e-06,1.0,4.0
12,2014,6.000259988462005e-07,0.0,1.0
12,2015,1.8000779965386013e-05,0.9999999999999996,30.0
12,2016,3.4801507933079624e-05,0.9840965993107806,40.0
12,2017,0.00011100480978654709,0.9584749375333089,70.0
12,2018,3.540153393192583e-05,0.9915035070588202,53.0
12,2019,5.100220990192704e-05,0.983992999889901,61.0
12,2020,0.00018360795564693734,0.9458754453420796,70.0
12,2021,0.0004692203310977288,0.8856314447418587,119.0
13,2011,4.793451300849017e-06,0.9240629132013957,102.0
13,2012,7.386272686308258e-06,0.9169703312098875,126.0
13,2013,8.236020871458765e-06,0.9245968113607649,133.0
13,2014,5.926448881049694e-06,0.9211385095131315,155.0
13,2015,8.65000075653209e-06,0.8716836451973519,123.0
13,2016,9.71763309172119e-06,0.8682610919178094,137.0
13,2017,1.6363099667898235e-05,0.9037739333842856,152.0
13,2018,1.3704913037427417e-05,0.8780879151799292,211.0
13,2019,2.357506503417562e-05,0.8642716047438275,334.0
13,2020,5.455819116966336e-05,0.8476830685712138,408.0
13,2021,0.0001845260866676833,0.7729049711446662,253.0
